"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"PA.NUS.PRVT.PP","Factor de conversión  de PPA, consumo del sector privado (UMN por $ a precios internacionales)","El factor de conversión de la paridad del poder adquisitivo es la cantidad de unidades de una moneda nacional que se requieren para adquirir la misma cantidad de bienes y servicios en el mercado nacional que se podrían adquirir con dólares de los Estados Unidos en ese país. El factor de conversión informado en esta serie es para consumo privado (es decir, el gasto de consumo final de los hogares).","Banco Mundial, base de datos del Programa de Comparación Internacional.",
"PA.NUS.PPPC.RF","Factor de conversión de PPA (PIB) al cociente de tipo de cambio del mercado","El factor de conversión de la paridad del poder adquisitivo es la cantidad de unidades de una moneda nacional que se requieren para adquirir la misma cantidad de bienes y servicios en el mercado nacional que se podrían adquirir con dólares de los Estados Unidos en ese país. La relación entre el factor de conversión de la PPA y el tipo de cambio de mercado es el resultado de dividir el factor de conversión de la PPA por el tipo de cambio de mercado. Esta relación, también denominada nivel de precios nacional, hace posible la comparación del costo del grupo de bienes que conforman el producto bruto interno (PIB) entre todos los países. Indica cuántos dólares son necesarios para comprar bienes en el país por un valor equivalente en dicha moneda, en comparación a las que se comprarían en los Estados Unidos.","Banco Mundial, base de datos del Programa de Comparación Internacional.",
"PA.NUS.PPP","Factor de conversión de PPA, PIB (UMN por $ a precios internacionales)","El factor de conversión de la paridad del poder adquisitivo (PPA) es un deflactor espacial de precios y un conversor de divisas que controla las diferencias de nivel de precios entre países, permitiendo así realizar comparaciones de volumen del producto interno bruto (PIB) y sus componentes de gasto. Este factor de conversión es para el PIB.","Programa de Comparación Internacional, Banco Mundial | Base de datos de indicadores de desarrollo mundial, Banco Mundial | Programa PPP Eurostat-OCDE.",
"PA.NUS.ATLS","Factor de conversión alternativo del Departamento de Economía del Desarrollo del Banco Mundial: DEC (UMN por US$)","El factor de conversión alternativo del Departamento de Economía del Desarrollo del Banco Mundial es el tipo de cambio anual subyacente utilizado para el método Atlas del Banco Mundial. Como regla, es el tipo de cambio oficial informado en las Estadísticas Financieras Internacionales del Fondo Monetario Internacional (línea rf). Surgen excepciones cuando el personal del Banco Mundial realiza depuraciones adicionales. Se expresa en unidades de moneda local por dólar de los Estados Unidos.","Fondo Monetario Internacional, Estadísticas Financieras Internacionales, y se complementa con las estimaciones del personal del Banco Mundial",
"NY.TTF.GNFS.KN","Ajuste de los términos de intercambio (UMN a precios constantes)","El efecto de los términos de intercambio es igual a la capacidad de importar, menos las exportaciones de bienes y servicios a precios constantes. Los datos están expresados en moneda local a precios constantes.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.TRF.NCTR.KN","Transferencias corrientes netas del extranjero (UMN a precios constantes)","Las transferencias corrientes comprenden transferencias de ingresos entre residentes del país informante y el resto del mundo que no cuenta con disposiciones con respecto a reembolsos. Las transferencias corrientes netas del extranjero son iguales a las transferencias unilaterales de ingresos de los no residentes a los residentes, menos las transferencias unilaterales de los residentes a los no residentes. Los datos están expresados en moneda local a precios constantes.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.TRF.NCTR.CN","Transferencias corrientes netas del extranjero (UMN a precios actuales)","Las transferencias corrientes comprenden transferencias de ingresos entre residentes del país informante y el resto del mundo que no cuenta con disposiciones con respecto a reembolsos. Las transferencias corrientes netas del extranjero son iguales a las transferencias unilaterales de ingresos de los no residentes a los residentes, menos las transferencias unilaterales de los residentes a los no residentes. Los datos se expresan en moneda local a precios corrientes.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.TRF.NCTR.CD","Transferencias corrientes netas del extranjero (US$ a precios actuales)","Las transferencias corrientes comprenden transferencias de ingresos entre residentes del país informante y el resto del mundo que no cuenta con disposiciones con respecto a reembolsos. Las transferencias corrientes netas del extranjero son iguales a las transferencias unilaterales de ingresos de los no residentes a los residentes, menos las transferencias unilaterales de los residentes a los no residentes. Datos en US$ a precios actuales.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.TAX.NIND.KN","Impuestos netos sobre productos (UMN a precios constantes)","Los impuestos netos a los productos (impuestos netos indirectos) son la suma de impuestos a los productos menos subsidios. Los impuestos a los productos son los impuestos pagaderos por parte de productores relacionados con las áreas de producción, ventas, compras o uso de bienes y servicios. Los subsidios son donaciones a la cuenta corriente otorgadas por el gobierno general a empresas privadas y a empresas públicas no constituidas en sociedad. Las donaciones pueden adquirir la forma de pagos para asegurar un precio mínimo o para permitir que se mantengan los precios de bienes y servicios a niveles inferiores a los costos de producción, y otras formas de ayuda a los productores. Los datos están expresados en moneda local a precios constantes.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.TAX.NIND.CN","Impuestos netos sobre productos (UMN a precios actuales)","Los impuestos netos a los productos (impuestos netos indirectos) son la suma de impuestos a los productos menos subsidios. Los impuestos a los productos son los impuestos pagaderos por parte de productores relacionados con las áreas de producción, ventas, compras o uso de bienes y servicios. Los subsidios son donaciones a la cuenta corriente otorgadas por el gobierno general a empresas privadas y a empresas públicas no constituidas en sociedad. Las donaciones pueden adquirir la forma de pagos para asegurar un precio mínimo o para permitir que se mantengan los precios de bienes y servicios a niveles inferiores a los costos de producción, y otras formas de ayuda a los productores. Los datos se expresan en moneda local a precios corrientes.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.TAX.NIND.CD","Impuestos netos sobre productos (US$ a precios actuales)","Los impuestos netos a los productos (impuestos netos indirectos) son la suma de impuestos a los productos menos subsidios. Los impuestos a los productos son los impuestos pagaderos por parte de productores relacionados con las áreas de producción, ventas, compras o uso de bienes y servicios. Los subsidios son donaciones a la cuenta corriente otorgadas por el gobierno general a empresas privadas y a empresas públicas no constituidas en sociedad. Las donaciones pueden adquirir la forma de pagos para asegurar un precio mínimo o para permitir que se mantengan los precios de bienes y servicios a niveles inferiores a los costos de producción, y otras formas de ayuda a los productores. Datos en US$ a precios actuales.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.GSR.NFCY.KN","Ingreso neto del extranjero (UMN a precios constantes)","El ingreso neto incluye la renta neta del trabajo, y los ingresos empresariales y de la propiedad netos del SCN. La renta del trabajo comprende la compensación de empleados pagada a trabajadores no residentes. Los ingresos empresariales y de la propiedad comprenden los ingresos por inversiones generados por la titularidad de derechos financieros en el extranjero (intereses, dividendos, rentas, etc.) e ingresos por propiedad no financieros (patentes, derechos de autor, etc.). Los datos están expresados en moneda local a precios constantes.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.GSR.NFCY.CN","Ingreso neto del extranjero (UMN a precios actuales)","El ingreso neto incluye la renta neta del trabajo, y los ingresos empresariales y de la propiedad netos del SCN. La renta del trabajo comprende la compensación de empleados pagada a trabajadores no residentes. Los ingresos empresariales y de la propiedad comprenden los ingresos por inversiones generados por la titularidad de derechos financieros en el extranjero (intereses, dividendos, rentas, etc.) e ingresos por propiedad no financieros (patentes, derechos de autor, etc.). Los datos se expresan en moneda local a precios corrientes.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.GSR.NFCY.CD","Ingreso neto del extranjero (US$ a precios actuales)","El ingreso neto incluye la renta neta del trabajo, y los ingresos empresariales y de la propiedad netos del SCN. La renta del trabajo comprende la compensación de empleados pagada a trabajadores no residentes. Los ingresos empresariales y de la propiedad comprenden los ingresos por inversiones generados por la titularidad de derechos financieros en el extranjero (intereses, dividendos, rentas, etc.) e ingresos por propiedad no financieros (patentes, derechos de autor, etc.). Datos en US$ a precios actuales.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.GNS.ICTR.ZS","Ahorro bruto (% del PIB)","El ahorro bruto se calcula como el ingreso nacional bruto menos el consumo total más las transferencias netas.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.GNS.ICTR.GN.ZS","Ahorro bruto (% del INB)","El ahorro bruto se calcula como el ingreso nacional bruto menos el consumo total más las transferencias netas.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.GNS.ICTR.CN","Ahorro bruto (UMN a precios actuales)","El ahorro bruto se calcula como el ingreso nacional bruto menos el consumo total más las transferencias netas. Los datos se expresan en moneda local a precios corrientes.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.GNS.ICTR.CD","Ahorro bruto (US$ a precios actuales)","El ahorro bruto se calcula como el ingreso nacional bruto menos el consumo total más las transferencias netas. Datos en US$ a precios actuales.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.GNP.PCAP.PP.KD","INB per cápita, PPA (dólares internacionales constantes de 2017)","INB per cápita basado en la paridad del poder adquisitivo (PPA). El INB PPA es el ingreso nacional bruto (INB) convertido a dólares internacionales utilizando tasas de paridad del poder adquisitivo. Un dólar internacional tiene el mismo poder adquisitivo sobre el INB que un dólar estadounidense en Estados Unidos. El INB es la suma del valor agregado de todos los productores residentes más cualquier impuesto sobre los productos (menos subsidios) no incluido en la valoración de la producción más los ingresos netos de ingresos primarios (compensación de los empleados e ingresos de la propiedad) del exterior. Los datos están en dólares internacionales constantes de 2017.","Programa de Comparación Internacional, Banco Mundial | Base de datos de indicadores de desarrollo mundial, Banco Mundial | Programa PPP Eurostat-OCDE.",
"NY.GNP.PCAP.PP.CD","INB per cápita, PPA (a $ internacionales actuales)","Este indicador proporciona valores per cápita del ingreso nacional bruto (INB, anteriormente PNB) expresado en dólares internacionales corrientes convertidos mediante el factor de conversión de paridad de poder adquisitivo (PPA). El INB es la suma del valor agregado de todos los productores residentes más cualquier impuesto sobre los productos (menos subsidios) no incluido en la valoración de la producción más los ingresos netos de ingresos primarios (compensación de los empleados e ingresos de la propiedad) del exterior. El factor de conversión PPA es un deflactor espacial de precios y un conversor de divisas que elimina los efectos de las diferencias en los niveles de precios entre países.","Programa de Comparación Internacional, Banco Mundial | Base de datos de indicadores de desarrollo mundial, Banco Mundial | Programa PPP Eurostat-OCDE.",
"NY.GNP.PCAP.KN","INB per cápita (moneda local constante)","El INB per cápita es el ingreso nacional bruto dividido por la población a mitad de año. El INB (anteriormente, PNB) es la suma del valor agregado por todos los productores residentes más todos los impuestos a los productos (menos los subsidios) no incluidos en la valuación del producto más las entradas netas de ingreso primario (remuneración de empleados e ingreso por propiedad) del exterior. Los datos están expresados en moneda local a precios constantes.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.GNP.PCAP.KD.ZG","Crecimiento per cápita del INB (% anual)","El INB per cápita es el ingreso nacional bruto dividido por la población a mitad de año. El INB (anteriormente, PNB) es la suma del valor agregado por todos los productores residentes más todos los impuestos a los productos (menos los subsidios) no incluidos en la valuación del producto más las entradas netas de ingreso primario (remuneración de empleados e ingreso por propiedad) del exterior.","Datos sobre las cuentas nacionales del Banco Mundial y archivos de datos sobre cuentas nacionales de la OCDE.",
"NY.GNP.PCAP.KD","INB per cápita (US$ constantes del año 2015)","El INB per cápita es el ingreso nacional bruto dividido por la población a mitad de año. El INB (anteriormente PNB) es la suma del valor agregado de todos los productores residentes más cualquier impuesto sobre los productos (menos subsidios) no incluido en la valoración de la producción más los ingresos netos de ingresos primarios (compensación de los empleados e ingresos de la propiedad) del exterior. Los datos están en dólares estadounidenses constantes de 2015.","Datos de cuentas nacionales del Banco Mundial y archivos de datos de Cuentas Nacionales de la OCDE.",
